brand__name,name,year_start,length,width
17 MARINE,ALKAID 8.50,1987,8.98,3.25
17 MARINE,BLUMAX 5.5,2014,5.5,2.29
2 BAR,2 BAR 62,2024,6.2,2.5
2 BAR,2 BAR 62 PACKAGE HONDA BF40,2025,6.2,2.5
3B CRAFT,3B CRAFT T24 OPEN,2011,8.25,2.75
3B CRAFT,3B CRAFT T27 HARD TOP,2011,9,3.2
3B CRAFT,3B CRAFT T27 OPEN,2011,9,3.2
3B CRAFT,3B CRAFT T31 EXPRESS,2011,9.45,
3B CRAFT,3B CRAFT T37 FLY,2011,11.7,3.8
3B CRAFT,3B CRAFT T37 HARD TOP,2011,11.7,3.8
3B CRAFT,3B CRAFT T37 OPEN,2011,11.7,
3B CRAFT,3B CRAFT T37 OPEN TUNA TOWER,2011,11.7,3.8
3B CRAFT,3B CRAFT T22 WALKAROUND,2006,7.6,2.5
3B CRAFT,3B CRAFT T25 OPEN,2006,8.5,3.2
3C-CARBON,BONGO 8.70,2007,8.7,3.45
3C-CARBON,BONGO 9.60,2007,9.6,3.72
3C-CARBON,OEHLMAN 37,1991,,
3C-CARBON,MARSEA TN 250,2013,250,167
3C-CARBON,BEACHER V8 OPEN,,7.6,2.9
3D CRAFT,NORDEN 771,2023,7.9,2.45
3D TENDER,TWIN VSHAPE 200,,2,1.31
3D TENDER,TWIN VSHAPE 230,,2.3,1.34
3D TENDER,TWIN VSHAPE 250,,2.5,1.35
3D TENDER,TWIN VSHAPE 270,,2.7,1.35
3D TENDER,TWIN VSHAPE 290,,2.9,1.36
3D TENDER,ULTIMATE RIB UT 320,,3.2,1.54
3D TENDER,ULTIMATE RIB UT 340,,3.4,1.54
3D TENDER,WORLD TRAVEL 200,2024,2,1.31
3D TENDER,WORLD TRAVEL 235,2024,2.35,1.31
3D TENDER,X PRO 535,2024,5.35,2.12
3D TENDER,XPRO 445 MIT TOHATSU MFS 50 AETL,2022,4.45,02.08
3D TENDER,XPRO 535,2022,5.35,2.12
3D TENDER,XPRO 535 WITHOUT ENGINE,2023,5.35,2.12
3D TENDER,XPRO ALU 420 WITHOUT ENGINE,2023,4.2,1.87
3D TENDER,XPRO RIB ALUMINIUM REINFORCED 420,,4.2,1.87
3D TENDER,3D TENDER 420 XPRO,2010,4.2,1.87
3D TENDER,DREAM 340 RIB DEMOBD,2022,3.5,2.14
3D TENDER,DREAM 550,,5.13,2.24
3D TENDER,DREAM 6,2025,5.17,2.45
3D TENDER,DREAM 850,,8.6,3.13
3D TENDER,DREAM LUX 655 WITHOUT ENGINE,,6.56,2.5
3D TENDER,FEDERLIGHT 246,,2.46,1.48
3D TENDER,HEAVY DUTY XPRO 321,,3.3,1.45
3D TENDER,NIVIDIC 550 PVC PACK NOIR WITH ENGINE,,5.5,2.4
3D TENDER,NIVIDIC 550 PVC WHITE WITH 90HP ENGINE,,5.5,2.4
